,precio,precio/kg,producto,anadir,none,link,m,k,s
1099,"
3,70 €","1,85 €/100ml",Gel de afeitar Sensitive cool Gillette 200 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=360,,,
1100,"
1,58 €","0,12 €/ud",Compresas maxi/super sin alasfina y segura Evax 13 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=360,,,,
1101,"
3,79 €","1,52 €/100ml",Gel íntimo Chilly 250 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=360,,,,
1102,"
3,75 €","1,87 €/100ml",Desodorante en spray Black Axe 200 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=360,,,,
1103,"
5,18 €","1,04 €/100ml",Enjuague bucal protección dientes y encías menta fresca Listerine 500 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=360,,,,
1104,"
2,45 €","0,38 €/100ml",Agua de colonia original Heno De Pravia 780 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,,
1105,"
3,49 €","1,40 €/100ml",Desodorante en spray Dry Impact Nivea Men 250 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,,
1106,"
3,29 €","0,97 €/100ml",Champú anticaspa Suave & Sedoso H&S 340 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,,
1107,"
1,20 €","0,02 €/ud",Discos desmaquillantes suaves avalados ecológicos Carrefour Bio 50 ud.,Bio,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,
1108,"
1,22 €","0,81 €/100ml",Desodorante en spray de chocolate Amalfi 150 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,,
1109,"
1,67 €","0,08 €/ud",Tampones con aplicador compact super Carrefour 20 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,,
1110,"
0,82 €","0,41 €/100ml",Desenredante en spray Carrefour Kids 200 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,,
1111,"
9,95 €","1,11 €/100ml",Champú anticaspa Citrus Fresh H&S 900 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=384,,,,
1112,"
1,24 €","0,41 €/100ml",Champú fresa para niños Carrefour Kids 300 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,,
1113,"
3,80 €","1,27 €/100ml","Mascarilla capilar Liso & Brillo para cabello liso, rebelde o difícil de alisar Garnier-Fructis 300 ml.",Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,
1114,"
5,99 €","0,50 €/ud",Preservativos natural Durex 12 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,,
1115,"
2,89 €","0,24 €/ud",Compresas maxi noche Absodys Carrefour 12 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,,
1116,"
4,49 €","5,99 €/100ml",Dentífrico blanqueadora sensibilidad & encias Calm Oral B 75 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,
1117,"
6,15 €","0,26 €/ud",Compresas para pérdidas de orina normal Ausonia Discreet 24 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,,
1118,"
5 €","1,25 €/100ml",Loción corporal reafirmante con vitamina C para piel normal Nivea Q10 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,,
1119,"
3,32 €","0,92 €/100ml",Champú fortificante Anticaspa para cabello normal Garnier-Fructis 360 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=408,,,,
1120,"
2,49 €","1,24 €/100ml",Desodorante en spray Natural 24h. Heno de Pravia 200 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,,,
1121,"
9,95 €","1,11 €/100ml",Champú anticaspa Classic H&S 900 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,,,
1122,"
4,05 €","5,40 €/100ml",Dentífrico para dientes sensibles Sensibilidad & Encías Sensodyne 75 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,,,
1123,"
2,19 €","1,46 €/100ml",Desodorante para pies en spray con aloe vera controla la sudoración y la humedad de los pies Babaria 150 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,,,
1124,"
16,39 €","2,73 €/ud",Recambios maquinilla Mach3 Gillette 6 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,,,
1125,"
3,89 €","3,60 €","3,89 €/ud
 | 
3,60 €/ud",Cepillo de dientes medio eliminación de manchas de doble acción Max White Expert White Colgate 1 ud.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,
1126,"
1,78 €","0,11 €/ud",Compresas fina y segura normal sin alas Evax 16 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,,,
1127,"
3,99 €","1,33 €/100ml",Acondicionador anti rotura para pelos frágil y con tendencia a caerse Full Resist L'Oréal-Elvive 300 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=432,,,,
1128,"
3,99 €","0,17 €/ud",Compresas incontinencia normal Absodys Carrefour 24 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,,
1129,"
3,09 €","0,65 €/100ml",Gel de ducha cuerpo y cabello BiomeProtect Dermo Kids Sanex 475 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,,
1130,"
3,99 €","1,33 €/100ml",Mascarilla capilar bálsamo nutritivo aceite extraordinario L'Oréal Elvive 300 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,,
1131,"
2,49 €","0,42 €/100ml",Gel de ducha nutritivo Lactovit 600 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,,
1132,"
4,85 €","0,57 €/100ml",Acondicionador liso y sedoso proteínas de seda & aceite de argán para cabello seco y tendencia a encresparse Tresemmé 855 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,
1133,"
2,09 €","2,09 €/ud",Bálsamo labial Original Liposan 1 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,,
1134,"
3,09 €","1,54 €/100ml",Champú en seco original Batiste 200 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,,
1135,"
4,67 €","1,17 €/100ml",Body milk nutritivo Bajo la Ducha para piel seca Nivea 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=456,,,,
1136,"
2,70 €","0,45 €/100ml",Laca clásica Nelly 600 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,,,
1137,"
2,35 €","0,06 €/ud",Toallitas Desmaquilladoras Refrescantes Piel normal/mixta Nivea 40 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,,,
1138,"
3,89 €","0,19 €/ud",Compresas para pérdidas de orina mini Ausonia Discreet 20 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,,,
1139,"
3,95 €","1,32 €/100ml",Champú anticaída para cabellos normales NaturVital 300 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,,,
1140,"
2,39 €","2,20 €","2,39 €/ud
 | 
2,20 €/ud",Mascarilla facial de tela Hydra Bomb hidratante revitalizante con ácido hialurónico y granada antioxidante SkinActive Mask Tissu Garnier 1 ud.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,
1141,"
4,49 €","1,28 €/100ml",Champú Hair Food sandía revitalizante Garnier-Fructis 350 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,,,
1142,"
1,90 €","3,80 €/100ml",Dentífrico anti-manchas Denivit 50 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,,,
1143,"
9,95 €","1,11 €/100ml",Champú anticaspa Menthol Fresh H&S 900 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=480,,,,
1144,"
1,65 €","0,41 €/100ml",Aceite corporal aloe vera Carrefour 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,,
1145,"
4,19 €","1,86 €/100ml",Champú sin siliconas para pelo con cuerpo y volumen Volumen & Nutrición biotina + agua de rosas Miracles Pantene Pro-V 225 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,
1146,"
1,20 €","0,16 €/100ml",Gel de ducha Thermal Carrefour 750 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,,
1147,"
2,20 €","0,55 €/100ml",Crema corporal hidratante para pieles atópicas Carrefour 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,,
1148,"
0,99 €","0,04 €/ud",Toallitas desmaquillantes cara y ojos piel normal-mixta Carrefour Soft 25 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,,
1149,"
2,45 €","1,22 €/100ml",Desodorante en spray Men Motion Sense Active protección+ anti-transpirant Rexona 200 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,,
1150,"
7,30 €","0,49 €/ud",Maquinillas desechable para hombre Blue II Gillette 15 ud.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,
1151,"
0,67 €","0,89 €/100ml",Dentífrico Xtra White Dentalyss 75 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=504,,,,
1152,"
3,75 €","0,25 €/100ml",Gel de ducha Frescor de Colonia Natural Honey 1500 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,,
1153,"
3,29 €","3,29 €/ud",Cepillo de dientes medio elimina las bacterias bucales 360 Colgate 1 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,,
1154,"
5,19 €","0,26 €/ud",Compresas ultrafina con alas para noche extra Ausonia 20 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,,
1155,"
4,05 €","0,20 €/ud",Compresas de incontinencia discreet mini Tena 20 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,,
1156,"
3,29 €","0,82 €/100ml",Acondicionador bifásico desenreda y acondiciona Nelly 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,,
1157,"
4,49 €","1,28 €/100ml",Champú Hair Food papaya reparador Garnier-Fructis 350 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,,
1158,"
2 €",4 €/100ml,Desodorante roll-on 24h Zero% Respect & Control de olor Sanex Men 50 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,,
1159,"
2,99 €","0,75 €/100ml",Champú aloe vera ecológico Carrefour Soft Bio 400 ml.,Bio,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=528,,,
1160,"
3,05 €","0,76 €/100ml",Leche corporal hidratante con aceite de oliva para piel seca Nivea 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,,,
1161,"
1,33 €","1,33 €/100ml",Crema de manos reparadora secas y dañadas Carrefour 100 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,,,
1162,"
1,34 €","0,11 €/ud",Compresas ultra finas con alas noche Teen nightCarrefour 12 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,,,
1163,"
2,46 €","0,98 €/100ml",Gomina xtrema 'Control Total' Giorgi 250 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,,,
1164,"
5,10 €","4,95 €","11,33 €/100ml
 | 
11 €/100ml",Desodorante stick crema confidence Maximum Protection Rexona 45 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,
1165,"
4,69 €","1,34 €/100ml",Champú Hair Food banana ultra-nutritivo Garnier-Fructis 350 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,,,
1166,"
2,15 €","0,09 €/ud",Esponja impregnada de gel dermatológico sólido pH neutro Genocure 24 ud,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,,,
1167,"
3,99 €","0,80 €/100ml",Gel de ducha hidratante con extracto de melocotón ecológico Carrefour Soft Bio 500 ml,Bio,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=552,,,
1168,"
0,72 €","1,44 €/100ml",Desodorante roll-on sport antitranspirante 48h 0% alcohol Carrefour Men 50 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,,
1169,"
5,29 €","0,88 €/100ml",Champú suave calmante con crema de arroz y leche de avena Original Remedies 600 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,,
1170,"
1,85 €","3,70 €/100ml",Desodorante roll-on Cool Kick Nivea 50 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,,
1171,"
2,70 €","1,35 €/100ml",Desodorante en spray 24h anti-manchas blancas con piedra de alumbre Natur Protect Sanex 200 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,
1172,"
1,52 €","0,51 €/100ml",Mascarilla capilar revitalizante cabello fragil Resist Plus,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,,
1173,"
1,06 €","1,77 €/100ml",Quitaesmalte suave con glicerina Carrefour 60 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,,
1174,"
4,05 €","5,40 €/100ml",Dentífrico para dientes sensibles blanqueante Sensibilidad & Encías Sensodyne 75 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,,
1175,"
2,29 €","1,14 €/ud",Bálsamo labial hidratante Carrefour Soft 2 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=576,,,,
1176,"
7,15 €","7,06 €","1,06 €/100ml
 | 
1,05 €/100ml",Acondicionador para cabello encrespado o apagado Suave & Liso Pantene Pro-V 675 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,
1177,"
3,09 €","1,24 €/100ml",Desodorante en spray Invisible on Black and White Clothes Rexona 250 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,,,
1178,"
1,99 €","1,99 €/100g",Jabón de manos en pastilla suave no perfumado ecológico Carrefour 100 g.,Bio,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,,
1179,"
4,55 €","0,15 €/ud",Tampones superplus Tampax 30 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,,,
1180,"
4,69 €","1,56 €/100ml",Mascarilla capilar nutritiva para cabello muy dañado ultra reparadora 2 en 1 Ultimate Repair Gliss 300 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,,,
1181,"
2,09 €","1,39 €/100ml",Champú en seco todo tipo de cabellos Volumen Carrefour 150 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,,,
1182,"
3,49 €","1,40 €/100ml",Desodorante en spray Protege & Cuida Nivea Men 250 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,,,
1183,"
2,19 €","2,19 €/ud",Protegeslips Carefree cotton feel normal 40 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=600,,,,
1184,"
6,90 €","1,72 €/100ml",Laca Fijadora normal L'Oréal Elnett 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,,
1185,"
2,39 €","0,20 €/ud",Toallitas íntimas Chilly 12 ud.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,,
1186,"
9,95 €","1,11 €/100ml",Champú anticaspa Apple Fresh H&S 900 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,,
1187,"
5,69 €","0,81 €/100ml",Champú Aqua Light para pelo graso Pantene 700 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,
1188,"
3,79 €","1,26 €/100ml",Mascarilla capilar hidratante protectora Delicatesse de Avena para cuero cabelludo sensible Original Remedies Garnier 300 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,,
1189,"
1,99 €","1,99 €/ud",Esmalte de uñas 60 segundos 722 all nails on deck Rimmel London 1 ud.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,
1190,"
5,25 €","1,50 €/100ml",Acondicionador Hair Food banana ultra-nutritivo para pelo seco Garnier-Fructis 350 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,
1191,"
5,29 €","1,76 €/100ml",Champú anticaspa prevención caída 7 en 1 Eficaz H&S 300 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=624,,,,
1192,"
3,09 €","1,24 €/100ml",Desodorante en spray invisible Ice Fresh Rexona 250 ml. ,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=648,,,,
1193,"
6,31 €","0,91 €/100ml",Champú fortificante Nutri Rizos Contouring para cabello rizado u ondulado Garnier-Fructis 690 ml.,"Añadir
",https://www.carrefour.es/supermercado/perfumeria-e-higiene/cat20004/c?offset=648,,,,
