,producto,precio,precio/kg,none
1632,NESTLE chocolate blanco postres tableta 180 gr,2.39,13.28/Kg,
1633,MILKA chocolate con oreo tableta 100 gr,1.19,11.90/Kg,
1634,DIA salsa ligera frasco 450 ml,0.95,2.11/l,
1635,DIA patatas fritas queso mediterráneo bolsa 150 gr,0.89,5.93/Kg,
1636,DIA GALLETECA galleta María dorada paquete 800 gr,0.95,1.19/Kg,
1637,KELLOGGS cereales all-bran chocolate paquete 375 gr,2.99,7.97/Kg,
1638,PICTOLIN caramelo eucalipto sin azúcar bolsa 200 gr,2.05,10.25/Kg,
1639,PICTOLIN caramelo eucalipto bolsa 300 gr,2.05,6.83/Kg,
1640,GALLO ñoquis bolitas de patata bandeja 400 gr,1.37,3.43/Kg,
1641,DIA caldo de pollo estuche 24 pastillas,0.85,0.85/ud,
1642,DIA caramelo sin azúcar sabor regaliz bolsa 200 gr,1.99,9.95/Kg,
1643,GULLON zero galleta sandwich con chocolate paquete 250 gr,1.75,7.00/Kg,
1644,ROYAL preparado para tarta de chocolate con milka estuche 350 gr,3.69,10.54/Kg,
1645,CHEETOS gustosines bolsa 35 gr,0.50,14.29/Kg,
1646,"










					GALLO espagueti integral paquete 450 gr",1.66,3.69/Kg,
1647,"










					GALLINA BLANCA caldo casero de pollo 100% natural envase 1 lt",1.80,1.80/l,
1648,GALLINA BLANCA caldo de pescado 100% natural envase 1 lt,1.80,1.80/l,
1649,GALLINA BLANCA caldo de pollo bajo en sal 100% natural envase 1 lt,1.80,1.80/l,
1650,GALLINA BLANCA caldo de carne 100% natural envase 1 lt,1.80,1.80/l,
1651,"










					GALLINA BLANCA caldo de cocido 100% natural envase 1 lt",1.80,1.80/l,
1652,ORTIZ mini tostas de arándanos bolsa 100 gr,1.79,17.90/Kg,
1653,DANONE ACTIMEL yogur líquido natural 0% M.G pack 12 unidades 100 gr ,5.19,4.33/Kg,
1654,"










					SUSARON laxsana sabor ciruela estuche 20 bolsitas",2.59,0.13/ud,
1655,BICENTURY galleta devoragras con yogur limón paquete 160 gr ,2.29,14.31/Kg,
1656,BICENTURY barritas sustituye de chocolate con leche caja 4 uds,3.99,31.17/Kg,
1657,DIA AL PUNTO lentejas con verduras lata 415 gr,0.79,1.90/Kg,
1658,"










					Barra de pan chapata 400 gr ",0.99,2.47/Kg,
1659,DIA pan rallado con ajo y perejil bolsa 500 gr,0.79,1.58/Kg,
1660,COSTA bicarbonato bote 200 gr,1.05,5.25/Kg,
1661,GALLINA BLANCA caldo de pollo 100% natural envase 2 x 1 lt,3.25,1.63/l,
1662,CERRO LA COTA crema membrillo tarrina 250 gr,1.00,4.00/Kg,
1663,DIA caramelos masticables 5 sabores bolsa 475 gr,1.99,4.19/Kg,
1664,DANONE VITALINEA yogur cremoso natural edulcorado pack 4 unidades 120 gr,2.29,4.77/Kg,
1665,DIA DELICIOUS barquillos chocolate negro caja 125 gr,1.55,12.40/Kg,
1666,BOLLYCAO relleno de chocolate con leche paquete 3 uds 180 gr,2.19,12.17/Kg,
1667,"










					GULLON zero barquillos de chocolate sin azúcar paquete 180 gr",1.75,9.72/Kg,
1668,GALLINA BLANCA fideos orientales yatekomo pollo vaso 60 gr,1.15,17.42/Kg,
1669,HERO mermelada temporada fresa Hero fraco 350 g,1.89,5.40/Kg,
1670,"










					HERO mermelada melocotón de temporada frasco 350 g",1.89,5.40/Kg,
1671,GALLINA BLANCA fideos orientales yatekomo vaso 60 gr,1.15,18.85/Kg,
1672,DIA tortitas mini de maiz y arroz sabor jamon paquete 75 gr,1.29,17.20/Kg,
1673,DIA tortitas de arroz bañadas yogur paquete 130 gr,1.59,12.23/Kg,
1674,DIA tortitas mini de maiz y arroz sabor queso paquete 75 gr,1.29,17.20/Kg,
1675,DIA tortitas de maiz con chocolate negro paquete 90 gr,1.09,12.11/Kg,
1676,DIA VITAL snack bañado en chocolate blanco multivitaminado caja 200 gr ,3.19,15.95/Kg,
1677,DIA MARCELO CARAMELO golosinas fresa brillo bolsa 250 gr,1.29,5.16/Kg,
1678,DIA golosinas mora bolsa 250 gr,1.29,5.16/Kg,
1679,DIA regaliz rueda rojo bolsa 250 gr,1.55,6.20/Kg,
1680,DIA regaliz relleno picapica bolsa 225 gr,1.15,5.11/Kg,
1681,DIA golosinas lagrimas bolsa 250 gr,1.05,4.20/Kg,
1682,DIA golosinas surtidas bolsa 250 gr,1.15,4.60/Kg,
1683,DIA torcidas regaliz rojo bolsa 225 gr ,1.15,5.11/Kg,
1684,DIA torcidas regaliz negro bolsa 225 gr ,1.15,5.11/Kg,
1685,DIA ICEBERG caramelos eucalipto y menta bolsa 300 gr,1.79,5.97/Kg,
1686,DIA sirope de fresa bote 295 gr,1.49,5.05/Kg,
1687,DIA sirope de chocolate botella 295 gr,1.49,5.05/Kg,
1688,DIA VEGECAMPO lenteja cocción rápida paquete 1 Kg,1.75,1.75/Kg,
1689,"










					NATREEN STEVIA edulcorante líquido frasco 125 ml
",4.39,35.12/l,
1690,"










					CO'OK huevos frescos camperos clase M estuche 10 uds",1.99,0.20/ud,
1691,DIA SNACK MANIAC pipas gigantes con sal bolsa 200 gr,0.97,4.85/Kg,
1692,GALLO margaritas con tomate y espinacas paquete 450 gr,1.63,3.62/Kg,
1693,DIA tronquitos bolsa 225 gr,1.15,5.11/Kg,
1694,"










					ESGIR Crunchy crumbs rebozado crujiente SIN GLUTEN bolsa 200 gr",1.75,8.75/Kg,
1695,"










					FONTANEDA galletas digestive original paquete 700 gr",3.29,4.70/Kg,
1696,RECONDO pan tostado multicereales paquete 270 gr ,1.99,7.37/Kg,
1697,"










					GALLO harina de trigo repostería 1 Kg",1.19,1.19/Kg,
1698,"










					IDEAL leche evaporada envase 525 gr",1.81,3.45/Kg,
1699,ALPRO bebida de avena envase 1 lt,1.85,1.85/l,
1700,"










					HEINZ ketchup light botella 550 gr",2.99,5.44/Kg,
1701,DANONE DANONINO petit suisse líquido fresa pack 4 botellas 100 ml,2.35,5.88/Kg,
1702,"










					GULLON galleta maría SIN GLUTEN caja 400 gr",2.55,6.38/Kg,
1703,"










					MAIZENA levadura de panadería caja 5 sobres de 5.5 gr",1.89,67.50/Kg,
1704,DANONE copa chocolate 2 unidades x 110 gr,1.45,"6.59/Kg.
","		2ª UD 50%



"
1705,DANONE DANACOL yogur líquido natural pack 6 unidades 100 g,3.99,6.65/Kg,
1706,"










					LA ASTURIANA alubia cocido sin sal frasco 400 gr",1.15,2.88/Kg,
1707,LA ASTURIANA garbanzo cocido sin sal frasco 400 gr,1.15,2.88/Kg,
1708,DANONE ACTIVIA bífidus fibras con cereales 0% pack 4 unidades 120 gr,2.49,5.19/Kg,
1709,DANONE ACTIVIA bífidus de frutos rojos 0% M.G pack 4 unidades 120 gr,2.49,5.19/Kg,
1710,DANONE ACTIVIA bífidus de piña 0% M.G pack 4 unidades 120 gr,2.49,5.19/Kg,
1711,DANONE OIKOS yogur griego natural pack 4 unidades 110 gr,1.99,"4.52/Kg.
","		2ª UD 50%



"
1712,DANONE OIKOS yogur griego natural azucarado pack 4 unidades 110 gr,2.25,"5.11/Kg.
","		2ª UD 50%



"
1713,"










					DIA yogur natural al estilo griego 1 Kg",1.95,1.95/Kg,
1714,"










					EL MOLINO DE DIA regañás con aceite de oliva virgen extra bolsa 150 gr ",1.35,9.00/Kg,
1715,DANONE ACTIVIA bífidus natural azucarado pack 4 unidades 120 gr,2.25,4.69/Kg,
1716,DIA DELICIOUS bloc de foie gras de pato lata 200 gr,6.49,32.45/Kg,
1717,PRINGLES patatas fritas sabor jamón tubo 165 gr,1.49,9.03/Kg,
1718,"










					KIKKOMAN salsa de soja botella 250 ml",3.35,13.40/l,
1719,"KELLOGGS cereales chocos caja 500 gr
",3.49,7.76/Kg,
1720,"










					DANI orégano hoja 60 gr",2.29,35.23/Kg,
1721,DIA VITAL tortitas de maíz paquete 130 gr,1.09,8.38/Kg,
1722,VIDAL regaliz blanco relleno caja 300 gr,2.39,7.97/Kg,
1723,CAPRICHO ANDALUZ set aliño aceite de oliva y vinagre bolsa 5+5 uds ,1.75,1.75/ud,
1724,"










					PROCELI basic mix preparado panificable SIN GLUTEN paquete 1 kg",4.09,4.09/Kg,
1725,PROCELI biscotes SIN GLUTEN caja 150 gr,3.39,22.60/Kg,
1726,GALLO pluma SIN GLUTEN paquete 450 gr,1.85,4.11/Kg,
1727,"










					GALLO espagueti SIN GLUTEN paquete 450 gr",1.85,4.11/Kg,
1728,CASA TARRADELLAS masa hojaldre rollo 260 gr,1.44,5.54/Kg,
1729,"










					VALOR chocolate negro 70% tableta 200 gr",2.59,12.95/Kg,
1730,"










					VIVISIMA+ melatonina envase 40 cápsulas ",3.95,0.10/ud,
1731,NATUR TIERRA óleo de onagra envase 60 cápsulas,4.79,0.08/ud,
1732,"










					BONDUELLE maíz bio pack 2 latas 140 gr ",2.39,7.97/Kg,
1733,SERPIS aceitunas rellenas de anchoa pack 4 latas 120 gr,2.65,13.25/Kg,
1734,AZUCARERA azúcar blanco en azucaritos caja 300 gr,1.25,4.17/Kg,
1735,"










					LAVAZZA Rossa café molido natural paquete 250 gr",3.75,15.00/Kg,
1736,MARCILLA café gran aroma fuerte estuche 28 uds 194 gr,4.09,0.15/ud,
1737,MARCILLA café gran aroma natural estuche 28 cápsulas,4.09,0.15/ud,
1738,DOLCE GUSTO bonka 16 cápsulas caja 112 gr,4.47,0.28/ud,
1739,"










					ECOCESTA copos suaves de avena integral bio bolsa 500 gr",2.35,4.70/Kg,
1740,"










					POMPADOUR infusión digestive plus estuche 20 bolsitas ",2.55,0.13/ud,
1741,"TRIDENT chicle grageas sabor fresa bolsa 43 gr
",1.00,23.26/Kg,
1742,TRIDENT chicle grageas sabor menta bolsa 43 gr ,1.00,23.26/Kg,
1743,"










					CO'OK huevos ecológicos estuche 6 uds",1.99,0.33/ud,
1744,"










					VALOR cacao puro en polvo bote 250 gr ",4.25,17.00/Kg,
1745,RECONDO pan tostado integral sin sal 30 uds paquete 270 gr,1.79,6.63/Kg,
1746,CUETARA Chocoflakes caja 520 gr,2.29,4.16/Kg,
1747,"










					ORBIT chicle grageas sabor hierbabuena bote 84 gr",3.19,37.98/Kg,
1748,ORBIT chicle grageas sabor fresa bote 84 gr,3.19,37.98/Kg,
1749,ORBIT chicle grageas sabor eucalipto bote 84 gr,3.19,37.98/Kg,
1750,ORBIT chicle grageas sabor menta bote 84 gr,3.19,37.98/Kg,
1751,BORGES nuez de california con cáscara bolsa 500 gr,3.99,7.98/Kg,
1752,"










					PANCELIAC picos artesanos SIN GLUTEN 100 gr",1.65,16.50/Kg,
1753,"










					GALLINA BLANCA avecrem pollo bajo en sal  estuche 10 pastillas ",1.75,0.18/ud,
1754,"










					BONDUELLE guisantes extra finos frasco 465 gr",2.55,5.48/Kg,
1755,DIA VEGECAMPO alcaparras en vinagre frasco 80 gr,0.99,12.38/Kg,
1756,"










					CLESA crema bombón de chocolate pack 4 unidades 125 g",1.19,2.38/Kg,
1757,POMPADOUR delgaxan plus estuche 20 bolsitas,2.55,0.13/ud,
1758,GREFUSA MisterCorn mix5 cocktail frutos secos bolsa 300 gr,2.35,7.83/Kg,
1759,"










					ASTURIANA leche semidesnatada botella 2.2 lt",1.65,0.75/l,
1760,"










					DIA torta de aceite de oliva paquete 180 gr",1.05,5.83/Kg,
1761,"










					GALLO fideos SIN GLUTEN paquete 450 gr",1.85,4.11/Kg,
1762,"










					OROWEAT pan molde 12 cereales y semillas bolsa 680 gr",2.59,4.39/Kg,
1763,HALLS caramelo sabor menta extrafuerte paquete 2 uds 64 gr,1.79,27.97/Kg,
1764,"LA ESTRELLA cafe molido descafeinado mezcla paquete 250 gr
",2.29,9.16/Kg,
1765,PROCELI wafer chocolate SIN GLUTEN caja 130 gr,3.69,28.38/Kg,
1766,YBARRA espinacas frasco 425 gr,1.29,3.04/Kg,
1767,CODAN mini conchas duocao paquete 180 gr ,1.19,6.61/Kg,
1768,"










					NESTLE GOLD mousse crujiente chocolate pack 4 unidades x 57 gr",2.25,9.87/Kg,
1769,IBERITOS crema de jamón york pack 3 x 23 gr,1.09,15.80/Kg,
1770,IBERITOS paté ibérico pack 3 x 25 gr ,1.09,15.80/Kg,
1771,NESTLE chocolate con leche para postres tableta 170 gr,1.95,11.47/Kg,
1772,ORBIT chicle grageas sabor bubblemint paquete 5 uds ,2.29,28.27/Kg,
1773,"










					DR. OETKER aroma de vainilla caja 4 uds",2.19,273.75/Kg,
1774,DANONE ACTIVIA bífidus cremoso de lima-limon pack 4 unidades 120 gr,2.19,4.38/Kg,
1775,DANONE ACTIVIA bífidus cremoso de frutas silvestres 0% pack 4 unidades 100 gr,2.19,4.56/Kg,
1776,DANI pimienta negra grano frasco 45 gr,1.85,41.11/Kg,
1777,DANI clavo en grano frasco 30 gr,1.15,38.33/Kg,
1778,"










					Barra de pan de horno de piedra 600 gr",1.39,2.32/Kg,
1779,DR. SCHAR pan de molde clásico SIN GLUTEN bolsa 300 gr,2.75,9.17/Kg,
1780,HELLMANN'S mayonesa bote 430 ml,2.39,5.56/l,
1781,"










					ROYAL huevas de islandia de lumpus y capelan tarro 50 gr",1.99,39.80/Kg,
1782,TRIDENT chicle grageas sabor hierbabuena bolsa 43 gr,1.00,23.26/Kg,
1783,"










					BICENTURY tortita de maiz queso & albahaca paquete 123 gr",1.89,15.37/Kg,
1784,LU PRINCIPE Maxi Choc galletas rellenas de chocolate paquete 250 grs,1.89,7.56/Kg,
1785,BIMBO pastelito tigretón paquete 3 uds 150 gr,1.59,10.60/Kg,
1786,ALPRO bebida de arroz envase 1 lt,1.95,1.95/l,
1787,"










					CLESA crema bombón 0.7% M.G. pack 4 unidades 125 gr ",1.19,2.38/Kg,
1788,FINI golosinas sugar shuffle mix bolsa 180 gr ,1.29,7.17/Kg,
1789,MILKA chocolate con leche + chips ahoy tableta 100 gr,1.19,11.90/Kg,
1790,"










					LA VIEJA FABRICA Diet mermelada extra de naranja amarga frasco 300 gr",2.25,7.76/Kg,
1791,DIA VEGECAMPO alubias blancas paquete 1 Kg,1.65,1.65/Kg,
1792,DONUTS glaseado estuche 2 uds 104 gr,1.39,13.37/Kg,
1793,DIA orégano frasco 15 gr ,0.55,36.67/Kg,
1794,DIA VEGECAMPO espárragos blancos medianos extra frasco 205 gr ,1.40,6.83/Kg,
1795,UBAGO melva en aceite de girasol lata 85 gr,2.15,25.29/Kg,
1796,FERRERO ROCHER bombones caja 200 gr,4.99,24.95/Kg,
1797,"










					CARBONELL aceite de oliva extra virgen botella 750 ml",5.39,7.19/l,
1798,FILIPINOS roscos de galleta con chocolate blanco paquete 135 gr,1.00,7.41/Kg,
1799,DIA TEMPTATION bombón licor cereza bolsa 400 gr,3.29,8.23/Kg,
1800,CREST piruleta chocolate bolsa 150 gr ,1.99,13.27/Kg,
1801,FERRERO rocher bombones caja 375 gr ,8.99,"23.97/Kg.
","		2ª UD 50%



"
1802,BICENTURY adelgasitel estuche 20 bolsitas,2.29,0.11/ud,
1803,KINDER Sorpresa huevo kinder 20 gr,1.29,64.50/Kg,
1804,LINDT Lindor bombones de chocolate con leche caja 200 gr,5.49,27.45/Kg,
1805,"










					LINDT Excellence chocolate negro con naranja tableta 100 gr ",2.59,25.90/Kg,
1806,MON CHERI bombones de chocolate con cereza caja 315 gr,7.40,23.49/Kg,
1807,CARBONELL aceite  de oliva virgen extra botella 1 lt,5.95,5.95/l,
1808,KINDER Sorpresa huevos kinder caja 3 unidades x 20 gr,3.49,58.17/Kg,
1809,ANETO caldo natural de pollo envase 1.5 lt,3.65,2.43/l,
1810,"










					ANETO caldo de pollo bajo en sal envase 1 lt",3.65,3.65/l,
1811,DOLCE GUSTO espresso intenso 16 cápsulas caja 128 gr,4.25,0.27/ud,
1812,NESTLE Caja roja bombones caja 400 gr,8.95,22.38/Kg,
1813,FONTANEDA galleta digestive chocolate con leche 300 gr,2.89,9.63/Kg,
1814,"DOLCE GUSTO espresso intenso descafeinado 16 cápsulas caja 112 gr  
",4.25,0.27/ud,
1815,"










					GULLON galleta digestive muesli paquete 365 grs",1.85,5.07/Kg,
1816,DANONE ACTIVIA bífidus de fresa pack 4 unidades 120 gr,2.49,5.19/Kg,
1817,DIA VEGECAMPO corazones de alcachofas 8/12 frasco 115 gr,1.45,12.61/Kg,
1818,"










					CELTA leche semidesnatada sin lactosa envase 1 lt",1.00,1.00/l,
1819,DANONE ACTIVIA bífidus natural pack 8 unidades 120 gr,3.35,3.49/Kg,
1820,DOLCE GUSTO cortado espresso macchiato 16 cápsulas caja 100 gr,4.25,0.27/ud,
1821,LINDT Lindor bombones surtidos caja 200 gr,5.49,27.45/Kg,
1822,DOLCE GUSTO café con leche 16 cápsulas caja 160 gr,4.25,0.27/ud,
1823,SOLIS tomate frito frasco 2X460,1.99,2.16/Kg,
1824,"










					KNORR sopa de cebolla sobre 54 gr",0.69,12.78/Kg,
1825,DANONE flan de vainilla pack 4 unidades 100 g,1.65,"4.13/Kg.
","		2ª UD 50%



"
1826,HARIBO caramelos mega torcidas fresa 200 gr,1.99,9.95/Kg,
1827,"










					GULLÓN galletas creme tropical caja 800 gr",2.69,3.36/Kg,
1828,DIA TEMPTATION trufas de chocolate belga caja 250 gr,1.40,5.60/Kg,
1829,FERRERO ROCHER bombones caja 300 gr,7.99,26.63/Kg,
1830,ARTIACH Princesa galletitas con miel caja 125 grs,1.79,14.92/Kg,
1831,DIA VEGECAMPO banderillas picantes frasco 140 gr,1.05,7.50/Kg,
1832,BRILLANTE arroz integral vaso 2 x 125 gr ,1.11,4.44/Kg,
1833, FERRERO bombones collection caja 172 gr ,6.99,"41.61/Kg.
","		2ª UD 50%



"
1834,KAIKU Caffé latte espresso vaso 230 ml,1.55,6.74/l,
1835,"










					MARCILLA café molido natural gran aroma paquete 250 gr",2.79,11.16/Kg,
1836,"










					LA ESPAÑOLA aceitunas rellenas de anchoa lata 150 gr ",1.62,10.80/Kg,
1837,"










					LA ESPAÑOLA aceitunas suaves rellenas de anchoa lata 150 gr ",1.65,11.00/Kg,
1838,DANONE yogur original natural azucarado pack 2 unidades 135 gr,1.39,5.15/Kg,
1839,KAIKU Caffé latte cappuccino vaso 230 ml,1.55,6.74/l,
1840,LINDT Lindor bombón chocolate negro unidad (peso aprox 15 gr),0.49,32.99/Kg,
1841,LINDT Lindor bombón chocolate con leche unidad (peso aprox 15 gr),0.49,32.99/Kg,
1842,LINDT Lindor bombón blanco unidad (peso aprox 15 gr),0.49,32.99/Kg,
1843,"










					ASTURIANA leche semidesnatada sin lactosa envase 1 lt ",0.97,0.97/l,
1844,"










					GRUPO DE LUCAS huevos frescos maíz categoría A clase M/L estuche 12 uds",1.89,0.16/ud,
1845,DIA TEMPTATION huevos de chocolate con leche bolsa 225 gr,1.99,8.84/Kg,
1846,DIA TEMPTATION huevos de chocolate con avellanas bolsa 225 gr,1.99,8.84/Kg,
1847,CASA TARRADELLAS masa fina para pizza rollo 260 gr,1.44,5.54/Kg,
1848,RESPIRAL caramelos eucalipto mentol bolsa 150 gr ,1.39,9.27/Kg,
1849,TRIDENT chicle láminas sabor hierbabuena paquete 5 uds,1.89,23.63/Kg,
1850,BICENTURY tortitas de maíz con chocolate negro paquete 90 gr ,1.95,21.67/Kg,
1851,HORNIMANS infusión manzanilla con anís estuche 25 bolsitas,2.09,0.08/ud,
1852,MILKA chocolate con leche tableta 125 gr ,1.15,9.20/Kg,
1853,EKO mezcla de cereales ecológico frasco 150 gr,2.59,17.27/Kg,
1854,NESTLE chocolate crunch tableta 100 gr ,1.49,14.90/Kg,
1855,CARRETILLA espárragos blancos cortos gruesos frasco 110 gr,2.89,26.27/Kg,
1856,M&M's cacahuete 45 gr,1.00,22.22/Kg,
1857,LU PRINCIPE galleta rellena de chocolate paquete 300 gr ,1.89,6.30/Kg,
1858,DULCIORA golosinas gummy jelly bolsa 100 gr,1.79,17.90/Kg,
1859,TOBLERONE chocolate con leche pack 3 unidades 50 gr ,2.39,15.93/Kg,
1860,MILKA choco biscuit caja 150 gr ,2.09,13.93/Kg,
1861,LINDT Excellence chocolate 85% cacao tableta 100 gr ,2.59,25.90/Kg,
1862,MARCILLA café molido creme express natural paquete 250 gr ,3.75,15.00/Kg,
1863,FERRERO ROCHER bombones pack 3 unidades envase 35 gr,1.00,28.57/Kg,
1864,LA ESPAÑOLA aceitunas verdes rellenas de anchoas pack 3 latas 150 gr ,2.49,16.60/Kg,
1865,"










					MILKA chocolate con avellanas tableta 270 gr",3.09,"11.44/Kg.
","		2ª UD 50%



"
1866,"










					NOCILLA crema de cacao original vaso 360 gr ",3.09,8.58/Kg,
1867,"










					FONTANEDA galletas integrales MarieLu paquete 520 gr ",2.39,4.60/Kg,
1868,OREO galletas bañadas en chocolate blanco caja 6 uds 246 gr ,2.39,"9.72/Kg.
","		2ª UD 50%



"
1869,GALLINA BLANCA Sopinstant crema de pollo con picatostes caja 63 gr,1.15,18.25/Kg,
1870,NUTELLA crema de cacao con avellanas vaso 200 gr,2.29,11.45/Kg,
1871,LINDT Lindor chocolate negro 60% tableta 100 gr,2.19,21.90/Kg,
1872,COLACAO original bote 760 gr,5.29,6.96/Kg,
1873,RAFFAELLO bombones caja 150 gr,3.59,"23.93/Kg.
","		2ª UD 50%



"
1874,GALLINA BLANCA sopa de pollo con fideos finos bajo en sal sobre 68 gr,0.57,8.38/Kg,
1875,TIC TAC caramelo de fresa mix envase 18 gr,1.00,55.56/Kg,
1876,"










					MARCILLA cafe molido mezcla gran aroma paquete 250 gr",2.79,11.16/Kg,
1877,"










					NOCILLA Duo crema de cacao vaso 360 gr ",3.09,8.58/Kg,
1878,"










					LA LECHERA leche condensada lata 370 gr


1.75",1.44,"

4.73/Kg.
3.89/Kg.

","		1.44 €



"
1879,CHIPS AHOY extra pepitas de chocolate xl bolsa 184 gr ,2.39,12.99/Kg,
1880,ALPRO leche de almendras envase 1 lt ,1.95,1.95/l,
1881,ROYAL levadura de panaderia caja 5 sobres de 5.5 gr,1.89,68.73/Kg,
1882,LA ASTURIANA garbanzos cocidos frasco 210 ml,0.79,2.68/Kg,
1883,FRIT RAVICH cocktail frutos secos top5 bolsa 170 gr,2.05,12.06/Kg,
1884,"










					ASTURIANA leche desnatada 0% M.G. sin lactosa envase 1 lt",0.97,0.97/l,
1885,ORTIZ mini tostas redondas caja 100 gr ,1.69,16.90/Kg,
1886,"










					VIVESOY bebida de avena envase 1 lt",1.79,1.79/l,
1887,"










					CALVO atún claro en aceite de oliva pack 3 latas de 52 gr",3.89,24.94/Kg,
1888,CALVO atún en aceite de oliva virgen extra pack 3 latas de 52 gr,3.99,25.58/Kg,
1889,CALVO atún claro en aceite de oliva bajo en sal pack 3 latas de 52 gr,3.95,25.32/Kg,
1890,CALVO atún claro en aceite de girasol pack 3 latas de 52 gr ,2.89,18.53/Kg,
1891,"










					LAVAZZA café molido crema e gusto paquete 250 gr ",2.75,11.00/Kg,
1892,FILIPINOS roscos de galleta con chocolate negro paquete 135 gr,1.00,7.41/Kg,
1893,MELS hojaldre de astorga paquete 180 gr,1.00,5.56/Kg,
1894,CALVO sardinillas en aceite de oliva baja en sal lata 60 g,1.35,22.50/Kg,
1895,BUITONI masa para empanada paquete 280 gr,2.79,9.96/Kg,
1896,DIA FIDIAS yogur al estilo griego mora y frambuesa pack 4 unidades 125 gr,1.29,2.58/Kg,
1897,"










					JOLCA aceituna verde gazpacha frasco 500 gr",3.35,6.70/Kg,
1898,DULCESOL magdalena valenciana bolsa 350 gr ,1.35,3.86/Kg,
1899,FINI bolsa de golosinas happy party 250 gr,2.29,9.16/Kg,
1900,DIA VITAL batido dietético de vainilla caja 8 batidos,6.29,21.25/Kg,
1901,DIA VEGECAMPO judías verdes redondas frasco 360 gr,0.95,2.64/Kg,
1902,DR. SCHAR galletas rellenas mini sorrisi SIN GLUTEN paquete 100 gr,1.59,15.90/Kg,
1903,DIA AL PUNTO ensalada milanesa de atún lata 150 gr,0.97,6.47/Kg,
1904,DIA AL PUNTO ensalada mediterránea de atún lata 150 gr,0.97,6.47/Kg,
1905,"










					CHIQUILIN energy galleta paquete 200 gr",2.49,12.45/Kg,
1906,DANONE yogur fresa. macedonia. fresa y plátano y galleta pack 12 unidades 120 gr,3.09,2.15/Kg,
1907,TOSFRIT kaskys de maíz frito bolsa 120 gr,0.97,8.08/Kg,
1908,ISABEL atún en aceite de girasol lata 650 gr,7.39,11.37/Kg,
1909,DR. SCHAR galletas rellenas de chocolate sorrisi SIN GLUTEN paquete 250 gr,3.09,12.36/Kg,
1910,DIA picatostes tostados bolsa 90 gr,0.69,7.67/Kg,
1911,KIT KAT chocolatina chocolate blanco 41.5 gr,1.09,25.95/Kg,
1912,"NATUR TIERRA drenante natural con alcachofa y diente de león jarabe 250 ml
",6.89,27.56/l,
1913,"










					EL MOLINO DE DIA bizcocho de limón envase 350 gr ",2.55,7.29/Kg,
1914,"










					EL MOLINO DE DIA bizcocho con pepitas de chocolate envase 350 gr ",2.35,6.71/Kg,
1915,"










					DANONE ACTIVIA bífidus cremoso de mango 0% M.G pack 4 unidades 120 gr",2.19,4.56/Kg,
1916,"










					CALVO atún en aceite de oliva pack 3 latas de 52 gr",3.29,21.09/Kg,
1917,NATUR TIERRA arándano rojo americano antioxidante envase 30 cápsulas ,5.79,0.19/ud,
